                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5752,                 1.2225,                 1.7901,                  0.746,                0.69504,                0.74853,                0.38428,                 1.7379,                 1.3459,                 1.9217,             0.00064865,             0.00064865,             0.00064865
                      2,                 1.7712,                 1.3606,                 1.9755,                0.74591,                0.60284,                 0.6922,                0.31151,                 1.8452,                 1.4572,                 2.0469,              0.0012893,              0.0012893,              0.0012893
                      3,                 1.8096,                 1.4552,                 1.9761,                0.60479,                0.49645,                 0.4949,                0.22194,                 2.0535,                 1.7603,                 2.1992,              0.0019035,              0.0019035,              0.0019035
                      4,                 1.9109,                 1.5713,                 2.0648,                0.61886,                0.59883,                0.58677,                0.25569,                 2.0414,                  1.822,                 2.3103,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8691,                 1.5619,                 2.0333,                0.69042,                0.61702,                0.64276,                0.31286,                  1.932,                  1.447,                 2.1983,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.8565,                 1.5167,                  2.021,                0.75745,                 0.5537,                0.66997,                0.31348,                 1.8397,                 1.4655,                 2.0899,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.9545,                 1.5332,                 2.0515,                 0.5798,                0.53822,                0.52674,                0.21799,                 2.1029,                 2.0739,                 2.2456,               0.001802,               0.001802,               0.001802
                      8,                 1.7988,                 1.4708,                 1.9888,                0.76777,                0.60962,                0.68318,                0.34007,                 1.7572,                 1.6375,                 2.0663,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.8376,                 1.4306,                  1.991,                0.66938,                0.69504,                0.69472,                0.33761,                 1.7697,                 1.4508,                 1.9607,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.806,                 1.3971,                 1.9604,                0.68222,                0.60903,                0.61461,                0.29214,                  1.865,                 1.4961,                 2.0814,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.7903,                 1.4356,                 1.9709,                0.64677,                0.61702,                0.61367,                0.25445,                 2.0576,                 1.6361,                 2.1483,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.8033,                 1.3966,                 1.9334,                0.67499,                0.53901,                0.59387,                0.28242,                 1.9408,                 1.6604,                 2.1045,               0.001604,               0.001604,               0.001604
                     13,                 1.7919,                  1.363,                 1.9282,                0.63763,                0.57447,                0.63103,                 0.2791,                 1.9595,                 1.5046,                 2.0759,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.748,                 1.3217,                 1.9063,                0.69152,                0.62411,                0.72775,                0.36011,                 1.7273,                 1.4335,                 1.8858,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.6945,                 1.3074,                  1.865,                0.80672,                0.62411,                 0.7171,                0.38082,                 1.7308,                 1.3456,                 1.9179,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.6759,                 1.2648,                 1.8734,                 0.7949,                0.62411,                 0.7072,                0.37035,                  1.797,                 1.3262,                 1.9587,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.6319,                 1.2221,                 1.7734,                0.76979,                0.68773,                 0.7798,                0.40672,                 1.7324,                 1.1729,                  1.902,               0.001406,               0.001406,               0.001406
                     18,                 1.6324,                  1.242,                 1.8239,                0.71493,                0.67376,                0.71616,                0.36177,                 1.8028,                 1.4267,                 1.9825,              0.0013664,              0.0013664,              0.0013664
                     19,                  1.646,                 1.2702,                 1.8226,                0.79758,                0.73759,                0.79711,                0.40752,                 1.6614,                 1.2762,                 1.8936,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.5994,                 1.1947,                 1.7931,                0.79977,                0.73759,                0.80276,                0.43523,                  1.615,                 1.1705,                 1.8617,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.6092,                 1.1742,                 1.7926,                0.69182,                0.75887,                0.75445,                0.39898,                 1.6477,                 1.2201,                 1.8412,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.5757,                 1.1018,                 1.7585,                 0.8481,                 0.7234,                0.81323,                0.42589,                 1.6844,                 1.1575,                 1.8739,               0.001208,               0.001208,               0.001208
                     23,                 1.5714,                  1.152,                 1.7682,                0.82621,                0.74178,                0.80825,                0.40276,                 1.7351,                  1.251,                 1.9317,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.5308,                 1.1062,                 1.7152,                0.77883,                 0.7234,                0.79134,                0.40486,                 1.6511,                 1.1622,                 1.8311,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.5502,                 1.1216,                 1.7519,                0.80674,                0.77305,                0.83467,                 0.4455,                 1.6598,                    1.1,                 1.8556,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.5623,                 1.0838,                 1.7293,                0.86632,                0.73541,                0.81255,                0.44373,                 1.6712,                 1.0784,                 1.8611,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.5362,                 1.0582,                 1.7217,                0.82497,                0.73545,                0.82736,                 0.4336,                 1.6782,                 1.0998,                 1.8512,                0.00101,                0.00101,                0.00101
                     28,                 1.5372,                 1.0458,                 1.7316,                0.80979,                0.72469,                0.80057,                0.42902,                 1.6648,                 1.0829,                 1.8355,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.4764,                 1.0203,                 1.6652,                0.83887,                0.70213,                0.81958,                0.44286,                 1.6641,                 1.1433,                 1.8435,              0.0009308,              0.0009308,              0.0009308
                     30,                  1.467,                 1.0119,                 1.6498,                 0.8064,                 0.7305,                0.81392,                0.42248,                 1.6902,                 1.0863,                 1.8389,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.4396,                 0.9453,                 1.6336,                0.78652,                0.80142,                0.82269,                0.41735,                 1.6546,                 1.0588,                 1.8282,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.3951,                0.90876,                 1.6101,                0.85248,                0.75177,                0.84077,                0.46775,                 1.6136,                 1.0523,                 1.7717,               0.000812,               0.000812,               0.000812
                     33,                 1.3943,                0.91353,                  1.614,                0.82073,                0.77305,                0.82112,                0.43499,                 1.6532,                  1.062,                 1.8592,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.3517,                0.91025,                 1.5653,                 0.8588,                0.76596,                0.83982,                0.48659,                 1.5386,                 0.9725,                 1.7347,              0.0007328,              0.0007328,              0.0007328
