                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1568,                0.74121,                 1.4121,                0.85343,                0.75887,                0.86044,                0.46223,                 1.5889,                0.97402,                 1.8032,             0.00064865,             0.00064865,             0.00064865
                      2,                 1.3303,                0.81341,                 1.5736,                0.86185,                0.75887,                0.82242,                0.42983,                 1.6799,                 1.0194,                 1.9124,               0.001299,               0.001299,               0.001299
                      3,                 1.4705,                 0.9627,                 1.6748,                0.69216,                0.55319,                0.62209,                0.26838,                 2.1045,                 1.5749,                 2.2679,              0.0019329,              0.0019329,              0.0019329
                      4,                 1.5419,                 1.0917,                 1.7322,                 0.7148,                0.68794,                0.73811,                0.38193,                 1.6904,                 1.2847,                 1.8618,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.5536,                 1.1156,                 1.7271,                0.70245,                0.61702,                0.70663,                0.35289,                  1.862,                  1.298,                 1.9378,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.5781,                  1.058,                 1.7557,                 0.7553,                0.69504,                0.74672,                0.35906,                  1.921,                 1.3329,                 2.1202,               0.001901,               0.001901,               0.001901
                      7,                 1.5434,                 1.0822,                 1.7353,                0.78628,                 0.7234,                0.78947,                0.41686,                 1.7337,                  1.137,                 1.9305,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.5671,                 1.0917,                 1.7762,                0.78614,                 0.7234,                0.75387,                0.39424,                 1.7704,                  1.127,                 1.9357,              0.0018515,              0.0018515,              0.0018515
                      9,                 1.5523,                 1.0651,                 1.7213,                 0.7645,                0.75976,                0.81078,                0.42932,                  1.705,                 1.1053,                 1.8772,              0.0018267,              0.0018267,              0.0018267
                     10,                 1.4873,                  1.017,                 1.6485,                0.76913,                 0.7088,                0.76524,                0.36716,                 1.8464,                 1.3125,                 2.0182,               0.001802,               0.001802,               0.001802
                     11,                  1.523,                  1.024,                 1.6862,                0.65129,                0.73759,                0.70292,                0.35828,                 1.7811,                 1.3193,                 2.0145,              0.0017772,              0.0017772,              0.0017772
                     12,                 1.4608,                 1.0212,                 1.6388,                0.80666,                0.71018,                 0.8205,                0.44649,                 1.6749,                 1.1068,                 1.8513,              0.0017525,              0.0017525,              0.0017525
                     13,                 1.4471,                0.95677,                 1.6409,                0.77356,                0.70213,                0.75796,                0.41325,                 1.6843,                  1.151,                 1.8824,              0.0017278,              0.0017278,              0.0017278
                     14,                 1.4526,                0.99097,                 1.6486,                 0.7531,                0.69227,                0.76899,                0.38079,                 1.7533,                 1.2284,                 1.9458,               0.001703,               0.001703,               0.001703
                     15,                 1.4502,                0.98743,                 1.6572,                0.77319,                0.69504,                0.76105,                0.40056,                 1.7326,                 1.1876,                 1.8905,              0.0016783,              0.0016783,              0.0016783
                     16,                 1.4378,                0.96917,                 1.6464,                0.83552,                 0.7305,                0.81274,                0.41733,                 1.6936,                 1.1395,                 1.8683,              0.0016535,              0.0016535,              0.0016535
                     17,                 1.4089,                0.92474,                 1.5968,                0.73642,                0.75177,                0.79409,                0.41233,                 1.6909,                 1.0668,                 1.9203,              0.0016287,              0.0016287,              0.0016287
                     18,                  1.414,                0.96398,                 1.6247,                0.72679,                0.81127,                0.80804,                0.40186,                 1.7713,                 1.1041,                 1.9384,               0.001604,               0.001604,               0.001604
                     19,                 1.4785,                0.96158,                 1.6585,                0.80856,                0.76596,                0.81237,                0.41156,                 1.7011,                 1.1146,                 1.8754,              0.0015793,              0.0015793,              0.0015793
                     20,                 1.3908,                0.91319,                  1.585,                0.81333,                0.79433,                0.84939,                0.46868,                 1.6238,                 0.9895,                 1.8397,              0.0015545,              0.0015545,              0.0015545
                     21,                 1.3952,                 0.9029,                 1.5947,                0.82436,                0.76596,                0.81746,                0.44489,                 1.6485,                 1.0363,                 1.8854,              0.0015298,              0.0015298,              0.0015298
                     22,                 1.3869,                0.88252,                 1.5935,                0.82356,                0.74468,                0.79649,                0.41221,                 1.7017,                 1.0458,                 1.8901,               0.001505,               0.001505,               0.001505
                     23,                 1.3952,                0.92227,                 1.5876,                0.83515,                0.68266,                0.79405,                0.41918,                 1.6641,                 1.0694,                 1.8434,              0.0014803,              0.0014803,              0.0014803
                     24,                  1.347,                0.86859,                  1.552,                0.78644,                0.80962,                0.83334,                 0.4492,                 1.6716,                 1.0367,                 1.8319,              0.0014555,              0.0014555,              0.0014555
