                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98103,                 0.6135,                 1.2717,                0.71023,                0.66976,                 0.7385,                0.37422,                 1.7593,                 1.2495,                 2.1619,             0.00046346,             0.00046346,             0.00046346
                      2,                 1.1968,                0.82957,                 1.4373,                 0.5881,                0.61278,                0.58101,                0.25615,                 2.1172,                 1.5866,                  2.426,             0.00092816,             0.00092816,             0.00092816
                      3,                  1.274,                0.86396,                 1.4674,                0.71592,                0.58886,                0.65339,                0.28611,                 1.9645,                  1.418,                 2.2389,              0.0013811,              0.0013811,              0.0013811
                      4,                 1.3281,                0.99753,                 1.5253,                0.63589,                0.52922,                0.50808,                0.21816,                 2.1723,                 1.6932,                 2.4081,              0.0013759,              0.0013759,              0.0013759
                      5,                 1.3374,                0.99714,                 1.5339,                0.71147,                0.64422,                0.67454,                 0.3354,                 1.8744,                 1.3627,                 2.1902,              0.0013759,              0.0013759,              0.0013759
                      6,                 1.3659,                0.99665,                 1.5652,                0.67661,                0.65482,                0.66025,                0.31898,                 1.9254,                 1.3366,                 2.2012,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.3825,                  1.036,                 1.5567,                0.62686,                0.54501,                0.58135,                0.28813,                 1.9701,                 1.4939,                 2.2046,              0.0013406,              0.0013406,              0.0013406
                      8,                 1.3499,                0.97821,                 1.5455,                0.62552,                 0.5803,                0.55759,                0.24304,                 2.0825,                 1.6828,                 2.3731,              0.0013229,              0.0013229,              0.0013229
                      9,                 1.3694,                 1.0369,                 1.5796,                 0.6592,                0.53534,                0.55844,                0.23799,                 1.9518,                  1.708,                  2.226,              0.0013052,              0.0013052,              0.0013052
                     10,                 1.3521,                0.98399,                 1.5448,                0.65524,                 0.6099,                0.66199,                0.30855,                 2.0162,                 1.4088,                 2.3091,              0.0012875,              0.0012875,              0.0012875
                     11,                 1.3705,                0.99805,                 1.5729,                0.66493,                0.54086,                0.60618,                 0.2707,                 2.1015,                 1.4962,                 2.3404,              0.0012698,              0.0012698,              0.0012698
                     12,                 1.3252,                0.99958,                 1.5264,                0.62109,                0.72489,                0.69614,                0.33057,                 1.8739,                 1.3523,                 2.1175,              0.0012522,              0.0012522,              0.0012522
                     13,                 1.3395,                0.98469,                 1.5268,                0.72231,                 0.5789,                 0.6756,                0.31682,                  1.987,                 1.3996,                 2.2323,              0.0012345,              0.0012345,              0.0012345
                     14,                 1.3325,                0.98824,                 1.5515,                0.68562,                0.63354,                0.69358,                 0.3272,                 1.8825,                 1.3973,                 2.1357,              0.0012168,              0.0012168,              0.0012168
                     15,                 1.3004,                0.96506,                 1.5075,                0.70214,                0.56591,                0.66441,                0.31776,                 1.8587,                 1.3363,                 2.1597,              0.0011991,              0.0011991,              0.0011991
                     16,                 1.3024,                0.89351,                 1.5157,                0.69825,                0.70743,                0.73985,                0.32666,                 1.9438,                 1.2973,                 2.2393,              0.0011814,              0.0011814,              0.0011814
                     17,                 1.2559,                0.86291,                 1.4785,                 0.8132,                0.62265,                0.69093,                0.35326,                 1.8696,                 1.3529,                 2.1203,              0.0011637,              0.0011637,              0.0011637
                     18,                 1.2799,                0.88755,                 1.4676,                 0.7167,                0.63689,                0.69911,                0.34907,                 1.8229,                 1.1678,                 2.1272,              0.0011461,              0.0011461,              0.0011461
                     19,                 1.2649,                0.87496,                 1.4775,                0.74635,                0.65971,                0.72632,                0.36396,                 1.8971,                 1.2247,                  2.261,              0.0011284,              0.0011284,              0.0011284
                     20,                 1.2684,                0.86563,                 1.4615,                0.79732,                0.62235,                0.71061,                0.32701,                 1.9975,                 1.3141,                 2.2874,              0.0011107,              0.0011107,              0.0011107
                     21,                 1.2274,                0.87839,                 1.4306,                0.61546,                 0.6736,                0.67808,                0.32757,                 1.7785,                 1.3099,                 2.0421,               0.001093,               0.001093,               0.001093
                     22,                 1.2321,                0.83566,                 1.4659,                 0.6772,                0.64896,                 0.6914,                0.33117,                 1.8428,                 1.3714,                 2.0766,              0.0010753,              0.0010753,              0.0010753
                     23,                 1.1824,                0.81211,                 1.4174,                 0.6279,                0.59386,                0.61089,                0.29764,                 1.9363,                 1.4559,                 2.1958,              0.0010576,              0.0010576,              0.0010576
                     24,                 1.2027,                0.79427,                 1.4348,                0.78223,                0.64803,                 0.7204,                0.34237,                 1.8426,                 1.2513,                 2.0477,                0.00104,                0.00104,                0.00104
                     25,                 1.1686,                0.78884,                  1.399,                0.64594,                0.61673,                 0.6347,                0.30261,                 1.9408,                 1.4489,                 2.2382,              0.0010223,              0.0010223,              0.0010223
                     26,                 1.1507,                0.76843,                 1.3928,                0.75298,                0.67153,                0.71895,                0.34552,                 1.8995,                  1.206,                 2.2172,              0.0010046,              0.0010046,              0.0010046
                     27,                 1.1789,                0.77134,                 1.3949,                0.70391,                0.61045,                0.65383,                0.31637,                 1.8519,                 1.2905,                 2.1821,              0.0009869,              0.0009869,              0.0009869
                     28,                 1.1572,                0.75642,                  1.396,                 0.7621,                0.63447,                0.70931,                0.34159,                 1.8949,                 1.1819,                 2.2193,             0.00096922,             0.00096922,             0.00096922
                     29,                 1.1269,                0.71727,                 1.3583,                0.74547,                 0.6008,                0.66111,                0.33077,                 1.9048,                 1.2732,                 2.2221,             0.00095154,             0.00095154,             0.00095154
                     30,                  1.139,                0.75544,                 1.3741,                 0.7837,                0.66431,                0.68703,                0.32769,                 1.8748,                 1.1835,                  2.274,             0.00093385,             0.00093385,             0.00093385
                     31,                 1.1536,                0.72728,                 1.3552,                0.77683,                0.62399,                0.70052,                 0.3294,                 1.8509,                 1.1922,                 2.1702,             0.00091617,             0.00091617,             0.00091617
                     32,                 1.0995,                0.71232,                 1.3314,                0.66949,                0.65219,                0.64702,                0.31684,                 1.9697,                 1.3108,                 2.2565,             0.00089848,             0.00089848,             0.00089848
                     33,                 1.1032,                0.70657,                 1.3457,                0.71055,                0.60186,                0.67806,                0.32548,                 2.0254,                 1.2604,                 2.2984,              0.0008808,              0.0008808,              0.0008808
                     34,                 1.1353,                0.70814,                 1.3417,                0.79472,                0.62341,                0.69605,                0.34188,                 1.9067,                 1.3308,                 2.3045,             0.00086312,             0.00086312,             0.00086312
                     35,                 1.0703,                0.70179,                 1.3213,                0.63212,                0.63957,                 0.6662,                0.34522,                 1.8438,                 1.2501,                 2.1291,             0.00084543,             0.00084543,             0.00084543
                     36,                 1.0989,                0.69049,                 1.3329,                0.74026,                0.63539,                0.70558,                0.36997,                 1.7812,                  1.164,                 2.1383,             0.00082775,             0.00082775,             0.00082775
                     37,                 1.0164,                 0.6722,                 1.3026,                0.72866,                0.63794,                0.70648,                0.35649,                 1.8967,                 1.1522,                 2.2621,             0.00081006,             0.00081006,             0.00081006
                     38,                 1.0749,                0.66775,                 1.3219,                0.80807,                0.66643,                0.74283,                0.36202,                 1.9103,                 1.0924,                 2.2998,             0.00079238,             0.00079238,             0.00079238
                     39,                 1.0758,                0.67011,                 1.3025,                0.74019,                0.66199,                0.68607,                0.33326,                 1.8764,                 1.2196,                 2.2015,              0.0007747,              0.0007747,              0.0007747
                     40,                 1.0676,                0.67952,                 1.2991,                0.70948,                0.57865,                0.65425,                0.32945,                 1.8548,                 1.2106,                 2.2753,             0.00075701,             0.00075701,             0.00075701
                     41,                 1.0244,                0.62922,                 1.2882,                  0.781,                 0.6705,                0.74828,                0.37719,                 1.7713,                 1.1175,                 2.1223,             0.00073933,             0.00073933,             0.00073933
                     42,                 1.0399,                0.65965,                 1.2842,                0.70098,                0.65216,                0.69689,                0.33349,                 1.8813,                 1.1423,                 2.2325,             0.00072164,             0.00072164,             0.00072164
                     43,                 1.0572,                0.66942,                 1.3029,                0.76513,                0.62713,                0.70965,                0.33111,                 1.8892,                 1.1017,                 2.2544,             0.00070396,             0.00070396,             0.00070396
                     44,                 1.0184,                0.62113,                 1.2797,                0.73696,                0.65639,                0.70525,                0.33288,                 1.8673,                 1.1406,                 2.2516,             0.00068628,             0.00068628,             0.00068628
                     45,                 1.0486,                0.63274,                 1.2836,                0.79069,                0.64334,                0.69495,                0.32628,                 1.9606,                 1.2069,                 2.2976,             0.00066859,             0.00066859,             0.00066859
                     46,                0.97209,                0.62091,                 1.2524,                0.71642,                  0.627,                0.68536,                0.32582,                 1.9405,                 1.3273,                 2.2569,             0.00065091,             0.00065091,             0.00065091
                     47,                0.97387,                0.60472,                 1.2526,                0.75104,                0.63883,                0.69449,                0.34316,                 1.8753,                 1.3183,                 2.2768,             0.00063323,             0.00063323,             0.00063323
                     48,                0.97287,                0.61462,                  1.248,                0.79281,                0.67456,                0.73188,                0.36677,                 1.7828,                 1.1763,                 2.1396,             0.00061554,             0.00061554,             0.00061554
                     49,                0.95827,                0.58812,                 1.2091,                0.78344,                0.66948,                0.74923,                0.38155,                 1.7572,                 1.1356,                 2.0959,             0.00059786,             0.00059786,             0.00059786
                     50,                0.94388,                 0.5827,                 1.2277,                0.80374,                0.62001,                0.72626,                0.36114,                 1.8159,                 1.1786,                 2.1885,             0.00058017,             0.00058017,             0.00058017
                     51,                0.94668,                0.59382,                 1.2231,                0.74503,                0.70567,                0.76658,                0.36478,                 1.8261,                 1.1151,                 2.2878,             0.00056249,             0.00056249,             0.00056249
                     52,                0.95064,                0.56012,                 1.2183,                0.81694,                0.70437,                0.76186,                 0.3547,                 1.8663,                  1.099,                 2.3331,             0.00054481,             0.00054481,             0.00054481
                     53,                 0.9222,                0.55655,                 1.2135,                0.80953,                0.67854,                0.75622,                 0.3736,                 1.8205,                 1.1327,                 2.2251,             0.00052712,             0.00052712,             0.00052712
                     54,                0.91737,                0.56214,                 1.2024,                0.79828,                0.67824,                0.74572,                0.36889,                 1.8426,                 1.1172,                 2.2096,             0.00050944,             0.00050944,             0.00050944
                     55,                0.90312,                0.53066,                 1.2067,                0.75982,                0.67354,                0.73503,                 0.3719,                 1.7598,                 1.1025,                 2.1828,             0.00049175,             0.00049175,             0.00049175
                     56,                0.90403,                0.54467,                 1.1719,                0.83826,                0.64133,                0.75686,                0.37286,                 1.8043,                 1.1087,                  2.234,             0.00047407,             0.00047407,             0.00047407
                     57,                0.90631,                0.55418,                 1.2036,                0.82836,                0.66455,                0.74996,                0.36608,                 1.7847,                 1.0447,                 2.2892,             0.00045639,             0.00045639,             0.00045639
                     58,                0.88626,                0.54337,                 1.1732,                0.78909,                0.69429,                0.74575,                0.36242,                  1.846,                 1.0056,                 2.3522,              0.0004387,              0.0004387,              0.0004387
                     59,                0.87475,                0.52244,                 1.1805,                0.80993,                0.65973,                0.75255,                0.38026,                 1.8327,                 1.0388,                 2.3035,             0.00042102,             0.00042102,             0.00042102
                     60,                0.86361,                0.56607,                  1.156,                0.71688,                0.71007,                0.74984,                0.37246,                 1.7392,                 1.2174,                 2.1731,             0.00040334,             0.00040334,             0.00040334
                     61,                0.85158,                0.49334,                 1.1534,                0.76299,                0.68975,                0.73948,                0.37353,                 1.7775,                 1.1874,                 2.2559,             0.00038565,             0.00038565,             0.00038565
                     62,                0.85232,                0.50227,                 1.1713,                0.73814,                0.70422,                0.75423,                 0.3725,                  1.774,                 1.1217,                 2.2142,             0.00036797,             0.00036797,             0.00036797
                     63,                0.83956,                0.49858,                 1.1505,                0.77992,                0.65889,                0.75123,                0.37976,                 1.7811,                 1.1326,                 2.1984,             0.00035028,             0.00035028,             0.00035028
                     64,                0.82137,                0.48405,                 1.1394,                0.76295,                0.72132,                0.75656,                0.36184,                 1.8115,                 1.1477,                 2.2371,              0.0003326,              0.0003326,              0.0003326
                     65,                0.81256,                0.48421,                 1.1332,                0.79758,                0.69522,                0.76208,                0.38903,                 1.7511,                 1.0836,                 2.2405,             0.00031492,             0.00031492,             0.00031492
                     66,                0.78861,                 0.4809,                 1.1017,                0.73533,                0.73271,                0.75823,                0.38933,                 1.8159,                 1.1067,                   2.31,             0.00029723,             0.00029723,             0.00029723
                     67,                0.80821,                0.48246,                 1.1217,                0.77291,                0.75299,                0.78217,                0.38348,                 1.8223,                 1.1259,                 2.3069,             0.00027955,             0.00027955,             0.00027955
                     68,                0.79159,                0.47787,                 1.1045,                0.84155,                0.68005,                0.75513,                0.38068,                 1.7945,                 1.1106,                  2.312,             0.00026186,             0.00026186,             0.00026186
                     69,                0.78335,                0.47239,                 1.0994,                0.85618,                0.65872,                0.75472,                0.37955,                  1.772,                 1.1449,                 2.2567,             0.00024418,             0.00024418,             0.00024418
                     70,                0.76651,                0.47102,                 1.0896,                 0.8368,                0.70477,                0.78628,                0.38865,                 1.8053,                 1.0949,                 2.2783,              0.0002265,              0.0002265,              0.0002265
                     71,                0.74874,                0.45781,                 1.0786,                0.83365,                0.72439,                 0.7992,                0.40189,                 1.7648,                 1.0682,                 2.2783,             0.00020881,             0.00020881,             0.00020881
                     72,                0.75583,                0.46396,                 1.1094,                0.76671,                0.74357,                0.79031,                0.39642,                 1.7997,                 1.0802,                  2.332,             0.00019113,             0.00019113,             0.00019113
                     73,                0.75668,                0.46391,                 1.0829,                0.76794,                0.75257,                0.79569,                0.39469,                 1.8143,                 1.0928,                 2.3326,             0.00017344,             0.00017344,             0.00017344
                     74,                0.72439,                0.44207,                 1.0755,                0.79932,                0.72872,                0.80363,                0.38453,                 1.8341,                 1.0523,                 2.3702,             0.00015576,             0.00015576,             0.00015576
                     75,                0.72405,                0.44757,                 1.0778,                0.83991,                0.67171,                0.76621,                0.38434,                 1.8145,                 1.0785,                 2.3597,             0.00013808,             0.00013808,             0.00013808
                     76,                0.70672,                 0.4354,                  1.055,                0.85057,                0.68713,                0.78282,                0.38965,                 1.8231,                 1.0861,                  2.368,             0.00012039,             0.00012039,             0.00012039
                     77,                0.69187,                0.43167,                 1.0465,                0.82379,                0.68537,                0.75874,                0.38278,                 1.8356,                 1.0363,                 2.4133,             0.00010271,             0.00010271,             0.00010271
                     78,                0.71752,                 0.4261,                  1.071,                0.82165,                0.67417,                0.75847,                0.38562,                 1.8404,                 1.0279,                 2.4357,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     79,                0.70084,                0.43495,                 1.0663,                0.81433,                0.68448,                0.75715,                0.38903,                  1.803,                 1.0295,                 2.3823,             6.7342e-05,             6.7342e-05,             6.7342e-05
                     80,                0.71607,                0.43726,                 1.0755,                0.83135,                0.68784,                0.76808,                0.39067,                 1.7897,                 1.0202,                 2.3447,             4.9658e-05,             4.9658e-05,             4.9658e-05
