                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8562,                 3.5613,                 1.9312,                 0.0034,                 0.8444,                0.17099,                0.06521,                 2.1446,                 3.8322,                 2.3957,             0.00046346,             0.00046346,             0.00046346
                      2,                 1.8366,                 3.0936,                 1.9082,                0.27393,                0.28408,                0.17261,                0.05594,                 2.3772,                  3.613,                 2.7382,             0.00093049,             0.00093049,             0.00093049
                      3,                 1.9232,                 2.9586,                 1.9752,                0.21852,                0.36909,                0.21933,                0.07372,                 2.4001,                 10.966,                 2.8824,              0.0013881,              0.0013881,              0.0013881
                      4,                 1.9602,                 2.8284,                 2.0151,                0.27826,                0.18849,                0.14829,                0.04571,                 2.5384,                 5.1437,                 3.0842,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9074,                 2.6631,                 1.9378,                  0.219,                0.25685,                0.18728,                 0.0745,                 2.3137,                 3.4327,                 2.8697,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.9755,                 2.5673,                 1.9732,                0.28875,                0.31948,                0.27076,                 0.1152,                 2.1322,                 2.6851,                 2.4892,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.8828,                 2.3909,                 1.9161,                0.20851,                0.46041,                0.24621,                0.09898,                 2.1664,                 3.0435,                 2.5215,              0.0013583,              0.0013583,              0.0013583
                      8,                  1.848,                 2.3241,                 1.9237,                 0.3467,                0.40159,                0.30049,                0.11161,                 2.1898,                 2.5773,                 2.4264,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.8602,                 2.2518,                 1.9004,                0.47151,                0.31464,                0.33844,                0.15616,                 1.9881,                  2.611,                 2.2802,                0.00133,                0.00133,                0.00133
                     10,                 1.8683,                 2.1557,                 1.8913,                0.40285,                0.40725,                0.38835,                0.13573,                 2.2492,                 2.7986,                  2.549,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.8056,                 2.0805,                 1.8577,                0.44836,                0.46146,                0.39758,                 0.1584,                 2.1049,                 2.0691,                 2.2821,              0.0013017,              0.0013017,              0.0013017
                     12,                  1.787,                 2.0442,                 1.8193,                 0.5024,                0.48288,                0.47098,                0.20103,                 1.8505,                 2.0808,                 2.1202,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.8103,                 2.0339,                 1.8618,                0.52546,                0.49594,                0.49732,                 0.2122,                 1.9304,                 2.0964,                 2.1889,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.7989,                 1.9785,                 1.8496,                0.60666,                0.47905,                0.58439,                0.26516,                 1.9712,                 1.7563,                 2.1854,              0.0012592,              0.0012592,              0.0012592
                     15,                  1.775,                 1.9732,                 1.8125,                0.49527,                0.47883,                0.47445,                0.20238,                 1.9669,                 2.0683,                  2.224,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.7316,                 1.8712,                 1.7819,                0.56495,                0.52523,                0.56729,                0.24761,                 1.8291,                 1.8166,                 2.1051,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.7618,                 1.9731,                 1.8544,                0.64106,                0.46001,                0.58184,                0.27916,                  1.932,                 1.6939,                 2.1852,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.6907,                 1.8885,                 1.7834,                0.52341,                0.49764,                0.54349,                0.23228,                 1.9842,                 1.8741,                 2.2366,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.7309,                 1.7975,                 1.7619,                0.57474,                0.57894,                0.56618,                0.26889,                 2.0176,                 1.7809,                 2.2548,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.7436,                 1.8552,                 1.7863,                0.44389,                0.48269,                 0.4861,                0.19677,                 2.1229,                 1.9197,                 2.2327,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.6653,                 1.7536,                 1.7122,                0.66242,                0.49866,                0.58793,                0.27109,                 1.9788,                 1.6503,                 2.1745,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.6548,                  1.744,                 1.7282,                0.57413,                0.55615,                0.62374,                0.30652,                 1.8592,                 1.6164,                 2.0886,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.6764,                 1.7276,                  1.754,                0.55415,                0.62193,                0.58781,                0.31183,                 1.7515,                 1.6246,                 2.0135,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.6548,                 1.7469,                 1.7127,                0.63984,                0.64256,                0.64116,                0.28219,                 1.9083,                  1.514,                 2.0843,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.6274,                 1.6304,                 1.6803,                0.71377,                0.58266,                 0.6593,                0.32444,                 1.8776,                 1.5019,                 2.1335,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.5836,                 1.6231,                 1.6819,                0.63024,                0.56574,                0.65084,                0.30641,                 1.8414,                 1.3979,                 2.0561,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.6397,                 1.7068,                 1.7175,                0.62042,                0.61296,                0.65686,                0.29816,                 1.9433,                 1.5942,                 2.1905,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.6276,                 1.6151,                 1.6691,                0.63366,                0.58301,                0.63595,                0.30536,                 1.8639,                 1.5139,                 2.1432,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.5921,                 1.5602,                 1.6741,                0.55481,                0.52811,                0.56233,                 0.2785,                 1.9078,                 1.5828,                 2.2151,               0.001047,               0.001047,               0.001047
                     30,                 1.5919,                 1.6028,                 1.6648,                0.73471,                0.62839,                0.71743,                0.33793,                 1.8653,                 1.4625,                 2.1202,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.5948,                 1.5053,                 1.6755,                0.72107,                0.59607,                0.67001,                0.31046,                 1.9716,                 1.4682,                 2.1935,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.5508,                 1.4956,                 1.6387,                 0.7308,                0.65649,                0.71048,                0.34118,                 1.8311,                  1.324,                 2.0534,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.5898,                 1.4945,                 1.6688,                0.79997,                0.65129,                0.69392,                0.32259,                 1.8382,                 1.4188,                 2.0563,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.5602,                 1.4733,                 1.6399,                0.62872,                0.61905,                0.63864,                0.30493,                 1.8119,                 1.5638,                 2.0464,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.5866,                 1.5592,                 1.6852,                0.63096,                0.61662,                0.62368,                0.31132,                 1.8097,                 1.4198,                 2.0383,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.5427,                  1.462,                 1.6286,                  0.656,                0.57157,                0.62893,                0.29869,                 1.9268,                 1.4395,                 2.1667,               0.000948,               0.000948,               0.000948
                     37,                  1.536,                  1.423,                 1.6096,                0.72229,                0.54043,                0.63528,                0.32759,                 1.8982,                 1.4218,                 2.1333,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.5229,                 1.4255,                 1.6061,                0.69842,                0.61625,                0.67283,                0.30982,                 1.9096,                 1.4665,                 2.1883,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.5254,                 1.4442,                 1.6152,                0.67135,                0.58937,                0.69563,                0.32401,                 1.9628,                 1.4424,                 2.1866,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.5363,                 1.4708,                 1.6287,                0.75482,                0.64026,                0.71793,                0.34116,                 1.9015,                 1.3465,                 2.1571,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.4999,                 1.4301,                 1.6118,                0.78562,                0.66649,                0.74479,                0.37598,                  1.829,                 1.2555,                 2.0922,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.5361,                 1.4141,                 1.6331,                 0.6998,                0.66968,                0.68548,                0.35423,                 1.7498,                  1.338,                 1.9992,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.5193,                 1.3915,                 1.6062,                0.74729,                0.67641,                0.74835,                0.38359,                 1.7533,                 1.2163,                 1.9725,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.4905,                 1.3901,                 1.5974,                0.78445,                0.65446,                0.74086,                0.36851,                 1.7346,                 1.2246,                  1.986,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.4316,                 1.3391,                 1.5592,                0.78903,                0.65688,                0.75214,                0.34889,                 1.8043,                  1.277,                 2.0771,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.4479,                 1.2668,                 1.5458,                0.81143,                0.66819,                0.75027,                0.37863,                 1.7908,                 1.2553,                 2.0262,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.4796,                 1.3244,                 1.5756,                0.85708,                0.63184,                0.74355,                0.36129,                 1.8542,                 1.3077,                 2.0772,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.4771,                 1.2978,                 1.5891,                0.69416,                0.67784,                0.70979,                0.35382,                 1.7851,                 1.3234,                 2.0179,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.4787,                 1.3241,                 1.5808,                0.65136,                0.74624,                0.74833,                0.34965,                 1.8384,                 1.2625,                 2.0762,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.4308,                  1.304,                  1.532,                0.68867,                0.72514,                0.73703,                0.35361,                 1.8062,                 1.3338,                 2.0768,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.3791,                 1.2339,                  1.519,                0.70587,                0.70591,                0.71931,                0.34591,                 1.8321,                 1.2318,                 2.1085,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.4528,                 1.3223,                 1.5673,                 0.6485,                0.66475,                0.69221,                0.33947,                 1.8097,                   1.28,                 2.0185,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.4329,                 1.3503,                 1.5427,                0.80486,                0.61667,                0.71573,                0.36088,                 1.8163,                 1.2489,                 2.0352,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.3793,                  1.248,                 1.5127,                0.80987,                0.61087,                0.72055,                0.37649,                 1.7921,                 1.2038,                 2.0646,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.4117,                 1.2248,                 1.5389,                0.82178,                0.68598,                 0.7789,                0.39609,                 1.7717,                 1.1198,                 2.0341,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.3896,                 1.2022,                 1.5014,                0.78013,                0.67687,                0.76027,                0.37384,                 1.8559,                 1.1514,                 2.0893,             0.00066506,             0.00066506,             0.00066506
                     57,                  1.388,                    1.2,                 1.5124,                0.73774,                0.68543,                0.73822,                0.33642,                 1.8572,                 1.1997,                 2.0739,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.3727,                 1.1806,                 1.4959,                0.78803,                 0.6809,                0.73896,                0.36681,                 1.8062,                 1.2329,                 2.0904,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.4016,                 1.1821,                 1.4996,                0.68173,                0.60267,                0.64288,                 0.2986,                 1.9017,                 1.4612,                   2.13,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.3472,                  1.181,                 1.4899,                 0.7538,                 0.7425,                 0.7476,                0.34703,                 1.9195,                 1.1493,                  2.147,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.3488,                 1.1094,                 1.4815,                0.78875,                0.70433,                0.77566,                0.37005,                  1.808,                 1.1172,                 2.0441,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.3714,                 1.2036,                 1.5111,                0.87728,                0.67938,                0.81341,                0.36691,                  1.844,                 1.1072,                  2.112,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.3222,                 1.1453,                 1.4744,                0.83156,                0.67529,                0.76442,                0.36919,                 1.8629,                 1.1821,                 2.1475,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.3284,                 1.1387,                 1.4558,                0.74082,                0.73609,                0.78515,                0.38925,                 1.8284,                 1.1353,                 2.0516,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.3978,                 1.1401,                 1.5046,                0.84111,                0.67517,                 0.7697,                0.36771,                 1.8377,                 1.1509,                 2.0693,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.2888,                 1.0855,                 1.4522,                 0.8128,                0.69775,                0.76918,                0.38136,                 1.8222,                 1.0857,                 2.0443,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.3537,                  1.137,                   1.49,                0.91192,                0.71326,                0.80134,                0.37422,                 1.8575,                 1.0832,                 2.0853,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.3026,                 1.0561,                 1.4377,                0.79043,                  0.732,                0.78491,                0.39059,                 1.7956,                 1.0922,                 2.0255,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.3271,                 1.1284,                 1.4683,                0.78484,                  0.703,                0.75455,                0.37086,                 1.8534,                 1.1377,                 2.0647,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.3015,                 1.0503,                  1.434,                0.78818,                0.66678,                0.75308,                0.38662,                 1.8462,                 1.1115,                 2.0783,               0.000467,               0.000467,               0.000467
                     71,                  1.325,                  1.077,                 1.4443,                0.77781,                0.69141,                 0.7359,                0.36678,                 1.8681,                 1.1643,                 2.1051,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.2743,                  1.062,                 1.4093,                0.78938,                0.62155,                 0.7479,                0.37671,                 1.8248,                 1.1892,                   2.02,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.2849,                 1.0468,                  1.427,                0.68447,                0.70886,                0.72932,                0.37714,                 1.8133,                 1.1765,                 2.0703,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.2574,                 1.0329,                 1.4201,                0.80987,                0.73785,                0.79998,                0.38328,                 1.8822,                  1.046,                  2.141,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.2462,                 1.0457,                 1.4082,                0.80206,                0.67681,                0.75789,                0.36164,                 1.9013,                 1.0984,                 2.1347,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.2413,                 1.0093,                 1.4048,                0.78955,                0.74279,                 0.7811,                0.40352,                 1.7534,                 1.0627,                 2.0087,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.2779,                 1.0323,                 1.4092,                 0.8213,                0.64374,                0.72186,                0.37229,                 1.8296,                 1.1187,                 2.0597,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.2487,                 1.0057,                 1.4141,                0.86505,                0.68043,                0.77425,                0.37979,                 1.8178,                 1.0362,                 2.0699,             0.00035382,             0.00035382,             0.00035382
                     79,                  1.216,                0.98181,                 1.3742,                 0.8354,                0.71008,                0.80396,                0.41612,                 1.7276,                 1.0115,                 1.9836,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.2127,                0.97979,                 1.3933,                0.84792,                0.69505,                0.77503,                0.39184,                 1.7636,                  1.113,                  2.003,             0.00032553,             0.00032553,             0.00032553
                     81,                  1.246,                 1.0153,                 1.4024,                0.83626,                0.70904,                0.77232,                0.38035,                 1.7839,                  1.052,                 2.0879,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.2361,                0.99308,                  1.416,                0.79298,                0.78084,                0.81136,                0.39914,                 1.7911,                 1.0294,                 2.0225,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.1885,                0.98547,                 1.3815,                0.79257,                0.70808,                0.76062,                0.37019,                 1.8003,                 1.1472,                 2.0434,             0.00028308,             0.00028308,             0.00028308
                     84,                  1.151,                0.96687,                 1.3578,                0.80273,                0.69968,                0.76527,                 0.3851,                 1.7373,                 1.1176,                 2.0056,             0.00026894,             0.00026894,             0.00026894
