                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8562,                 3.5613,                 1.9312,                 0.0034,                 0.8444,                0.17099,                0.06521,                 2.1446,                 3.8322,                 2.3957,             0.00046346,             0.00046346,             0.00046346
                      2,                 1.8248,                 3.0999,                  1.898,                0.18673,                0.17716,                0.10911,                0.04034,                  2.357,                 3.6353,                 2.6288,             0.00092118,             0.00092118,             0.00092118
                      3,                 1.8347,                 2.9456,                 1.9211,                0.12601,                0.31825,                0.09361,                0.03423,                 2.4888,                 13.818,                 3.2257,                0.00136,                0.00136,                0.00136
                      4,                 1.9232,                 2.8375,                 1.9933,                 0.0776,                0.11817,                 0.0606,                0.02233,                 2.6798,                 3.9377,                 3.2413,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.9094,                 2.6751,                 1.9245,                0.17194,                0.22854,                0.13872,                 0.0504,                  2.174,                 4.1342,                 2.4755,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.9452,                 2.5293,                 1.9331,                0.26932,                0.37513,                0.24114,                0.10473,                  2.208,                 2.7787,                 2.5031,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.8591,                 2.3455,                 1.8614,                0.27521,                0.33522,                0.28679,                0.13112,                 1.9328,                 3.0112,                 2.2566,              0.0012875,              0.0012875,              0.0012875
                      8,                  1.822,                 2.3495,                 1.8887,                0.26341,                0.35259,                0.22681,                0.08616,                 2.2209,                 2.8623,                 2.7033,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.8205,                 2.2446,                 1.8455,                 0.3978,                0.37937,                0.30667,                0.12865,                 2.0531,                 2.9553,                 2.2641,              0.0012309,              0.0012309,              0.0012309
                     10,                  1.887,                   2.25,                 1.8993,                0.34343,                0.31244,                0.27467,                0.11792,                 2.0513,                 2.6337,                 2.3335,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.8015,                 2.1304,                 1.8489,                0.38095,                 0.2774,                0.32575,                0.13106,                 2.1155,                 2.3409,                  2.423,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.7858,                 2.0955,                 1.8263,                0.38256,                0.40288,                0.33101,                0.14818,                 1.9083,                 2.2634,                 2.1842,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.7697,                 2.0047,                 1.8342,                0.50957,                0.55904,                0.46051,                0.20406,                 1.8967,                 1.9735,                 2.2085,              0.0011178,              0.0011178,              0.0011178
                     14,                  1.742,                  1.926,                  1.798,                0.47716,                0.48709,                0.54248,                0.25196,                 1.9067,                   1.75,                 2.1994,              0.0010895,              0.0010895,              0.0010895
